Family	Father	Mother	Gender	Height	Kids	X1	X2	X3	X4	X5	X6	outcome
16	73	65	F	68.7	9	12	18	19	35	7	4	6
16	73	65	F	66.5	9	10	17	18	8	1	7	0
16	73	65	F	64.5	9	13	13	18	51	21	24	3
16	73	65	F	63.5	9	12	7	18	33	8	22	4
17	73	64.5	M	74	6	NA	NA	NA	NA	NA	NA	NA
17	73	64.5	M	73	6	11	13	19	0	0	3	2
17	73	64.5	M	71.5	6	13	12	17	55	21	33	8
17	73	64.5	M	62.5	6	14	14	18	38	13	23	6
17	73	64.5	F	66.5	6	14	16	19	48	13	30	19
17	73	64.5	F	62.3	6	17	20	20	60	25	45	28
18	73	64	F	66	3	15	17	18	55	15	8	12
18	73	64	F	64.5	3	14	12	17	24	8	1	3
18	73	64	F	64	3	14	20	19	45	21	43	15
19	73.2	63	F	62.7	1	21	19	20	31	14	45	62
20	72.7	69	M	73.2	8	13	13	19	35	9	3	7
20	72.7	69	M	73	8	16	19	19	36	9	38	28
20	72.7	69	M	72.7	8	15	15	18	41	19	26	17
20	72.7	69	F	70	8	15	15	18	26	4	23	54
20	72.7	69	F	69	8	12	16	19	55	18	35	20
20	72.7	69	F	68.5	8	17	20	20	12	5	0	11
20	72.7	69	F	68	8	13	13	16	10	7	9	7
20	72.7	69	F	66	8	14	18	17	46	12	36	23
21	72	68	M	73	3	12	12	18	36	15	40	14
21	72	68	F	68.5	3	15	18	18	49	15	42	22
21	72	68	F	68	3	16	15	18	34	11	26	34
22	72	67	M	73	3	13	19	19	42	13	43	65
22	72	67	M	71	3	16	19	20	65	22	45	43
22	72	67	F	67	3	4	13	15	0	4	3	0
23	72	65	M	74.2	7	15	16	17	17	6	0	2
23	72	65	M	70.5	7	11	13	18	1	6	0	0
23	72	65	M	69.5	7	10	14	17	1	1	8	1
23	72	65	F	66	7	15	17	20	69	23	43	36
23	72	65	F	65.5	7	14	12	17	23	10	10	23
23	72	65	F	65	7	17	17	20	49	21	40	45
23	72	65	F	65	7	14	19	19	26	8	2	5
24	72	65.5	F	65.5	1	19	20	19	79	24	56	64
25	72	64	F	66	2	10	15	18	3	1	1	7
25	72	64	F	63	2	16	18	19	14	6	2	18
26	72	63	M	70.5	5	12	19	18	46	13	40	40
26	72	63	M	70.5	5	14	17	19	51	21	33	17
26	72	63	M	69	5	10	17	18	18	0	35	5
26	72	63	F	65	5	13	17	18	30	12	23	15
26	72	63	F	63	5	16	15	18	27	10	4	16
27	72	63	M	69	3	14	11	19	51	19	31	7
27	72	63	M	67	3	15	17	19	12	15	0	5
27	72	63	F	63	3	15	16	17	40	10	12	18
28	72	63	M	73	6	13	20	19	30	8	12	13
28	72	63	M	67	6	11	16	16	27	9	42	21
28	72	63	F	70.5	6	15	19	19	28	16	18	18
28	72	63	F	70	6	12	18	18	43	14	39	38
28	72	63	F	66.5	6	13	16	18	66	18	32	14
28	72	63	F	63	6	12	18	18	6	3	2	8
29	72.5	63.5	F	67.5	3	14	15	18	0	0	3	0
29	72.5	63.5	F	67.2	3	15	17	18	57	23	36	12
29	72.5	63.5	F	66.7	3	14	13	16	7	5	27	15
30	72	62	F	64	1	15	16	19	8	11	14	19
31	72.5	62	M	71	6	13	8	19	4	1	0	0
31	72.5	62	M	70	6	13	17	18	39	9	3	9
31	72.5	62	M	70	6	15	19	19	42	13	26	26
31	72.5	62	F	66	6	14	17	19	50	20	36	12
31	72.5	62	F	65	6	14	16	19	42	22	43	26
31	72.5	62	F	65	6	14	18	16	17	7	38	5
32	72	62	M	74	5	15	19	19	2	0	2	7
32	72	62	M	72	5	12	15	19	63	15	52	22
32	72	62	M	69	5	16	19	19	65	25	51	29
32	72	62	F	67.5	5	10	14	17	21	8	29	2
32	72	62	F	63.5	5	14	17	18	60	22	25	25
33	72	62	M	72	5	17	19	19	35	14	45	26
33	72	62	M	71.5	5	16	15	17	40	16	33	2
33	72	62	M	71.5	5	16	19	20	47	18	33	6
33	72	62	M	70	5	14	17	19	34	16	21	26
33	72	62	F	68	5	17	19	19	11	5	9	37
34	72	61	F	65.7	1	18	15	19	5	2	0	5
35	71	69	M	78	5	15	19	18	38	11	35	38
35	71	69	M	74	5	16	20	20	55	21	36	23
35	71	69	M	73	5	13	18	18	47	11	32	62
35	71	69	M	72	5	14	13	16	1	0	0	2
35	71	69	F	67	5	12	15	19	5	7	3	12
36	71	67	M	73.2	4	18	18	18	44	20	47	33
36	71	67	M	73	4	21	20	20	5	9	7	2
36	71	67	M	69	4	6	11	14	10	1	0	0
36	71	67	F	67	4	13	16	18	11	2	16	5
37	71	66	M	70	4	21	20	20	62	18	46	69
37	71	66	F	67	4	14	15	19	49	13	31	37
37	71	66	F	67	4	15	17	20	29	12	2	19
37	71	66	F	66.5	4	14	17	19	42	11	29	26
38	71	66	M	70	6	14	15	19	46	18	31	47
38	71	66	M	69	6	14	16	18	31	14	33	41
38	71	66	M	68.5	6	12	11	16	19	18	8	9
38	71	66	F	66	6	16	19	19	40	9	36	35
38	71	66	F	64.5	6	4	13	15	28	11	29	1
38	71	66	F	63	6	20	20	20	58	21	46	43
39	71	66	M	71	2	14	19	18	22	8	39	38
39	71	66	F	67	2	17	20	20	71	11	47	54
40	71	66	M	76	5	16	16	18	49	17	32	20
40	71	66	M	72	5	13	18	18	52	18	0	5
40	71	66	M	71	5	15	20	18	48	14	52	46
40	71	66	M	66	5	16	18	19	14	7	14	18
40	71	66	F	66	5	14	18	18	33	7	21	2
41	71.7	65.5	M	70.5	1	12	16	18	53	16	41	10
42	71	65.5	M	72	6	15	20	20	15	6	3	13
42	71	65.5	M	72	6	14	15	18	36	23	27	4
42	71	65.5	M	71	6	14	15	17	53	16	35	35
42	71	65.5	M	69	6	10	6	9	3	8	0	3
42	71	65.5	F	66	6	13	14	19	7	4	2	6
42	71	65.5	F	65	6	16	16	19	4	0	1	8
43	71.5	65.5	M	73	2	13	17	19	16	10	1	2
43	71.5	65.5	F	65.2	2	16	19	19	48	19	27	48
44	71.5	65	M	68.5	2	19	20	19	71	25	52	87
44	71.5	65	M	67.7	2	13	18	19	36	14	44	2
45	71	65	M	68	3	16	16	18	30	10	15	15
45	71	65	M	68	3	16	18	19	27	7	29	6
45	71	65	F	62	3	12	14	17	37	13	13	21
46	71	64	F	68	8	13	14	19	39	10	22	11
46	71	64	F	68	8	14	20	19	45	20	41	12
46	71	64	F	67.5	8	14	12	15	28	21	39	8
46	71	64	F	66.5	8	14	15	19	48	14	2	13
46	71	64	F	66.5	8	16	11	14	42	13	27	8
46	71	64	F	66	8	19	20	17	73	21	52	68
46	71	64	F	65.5	8	6	5	11	5	8	2	6
46	71	64	F	65	8	16	15	18	8	6	0	11
47	71.7	64.5	M	72	4	15	18	18	7	12	1	17
47	71.7	64.5	M	71	4	14	17	18	27	14	8	16
47	71.7	64.5	M	70.5	4	20	13	18	30	15	21	25
47	71.7	64.5	F	67	4	16	18	19	25	10	39	27
48	71	64	M	68	3	12	18	18	38	15	25	17
48	71	64	M	68	3	16	18	18	35	17	44	48
48	71	64	M	68	3	11	18	19	44	12	38	19
49	71.5	64.5	M	72	7	16	19	19	7	5	1	0
49	71.5	64.5	M	71	7	13	16	18	52	20	42	10
49	71.5	64.5	M	70	7	14	16	19	30	14	3	9
49	71.5	64.5	F	66	7	9	13	19	56	20	29	1
49	71.5	64.5	F	64.5	7	8	13	17	21	11	25	9
49	71.5	64.5	F	64.5	7	10	13	16	33	7	26	7
49	71.5	64.5	F	62	7	14	13	18	4	2	3	2
51	71.2	63	F	67.5	2	14	15	18	28	4	31	6
51	71.2	63	F	64.5	2	10	15	18	4	0	32	11
52	71	63.5	M	71	5	13	20	18	48	7	10	16
52	71	63.5	M	67	5	NA	NA	NA	NA	NA	NA	NA
52	71	63.5	F	66	5	15	19	20	8	14	16	5
52	71	63.5	F	65	5	10	16	18	6	7	0	0
52	71	63.5	F	63.5	5	14	14	16	36	14	16	16
53	71	63	M	71	9	10	18	16	37	14	37	13
53	71	63	M	70	9	16	19	20	43	14	20	41
53	71	63	M	70	9	15	18	20	23	12	48	6
53	71	63	M	64	9	17	19	19	49	21	47	28
53	71	63	F	65	9	15	18	18	19	8	40	50
53	71	63	F	65	9	13	17	19	39	14	33	32
53	71	63	F	64	9	16	18	19	38	13	37	13
53	71	63	F	63	9	15	19	20	65	23	36	52
53	71	63	F	63	9	13	20	18	34	9	12	2
54	71	63	M	71	4	13	13	18	30	7	4	4
54	71	63	M	71	4	14	17	19	67	23	40	24
54	71	63	M	70	4	13	17	18	1	5	2	4
54	71	63	F	63.5	4	12	14	17	18	5	22	0
55	71	62	M	71	5	19	20	20	10	13	0	4
55	71	62	M	70	5	15	14	18	11	2	0	2
55	71	62	F	64.5	5	12	19	18	9	4	8	9
55	71	62	F	62.5	5	20	20	20	13	10	5	9
55	71	62	F	61.5	5	18	19	20	51	18	1	11
56	71	62	M	72	5	11	18	19	0	1	6	3
56	71	62	M	70.5	5	14	18	19	15	8	5	21
56	71	62	M	70.5	5	14	16	19	5	4	0	1
56	71	62	F	64.5	5	14	14	16	2	2	0	4
56	71	62	F	60	5	16	19	19	42	25	51	33
57	71	62.5	M	70	5	14	20	19	32	9	43	57
57	71	62.5	F	64	5	10	13	18	3	1	0	1
57	71	62.5	F	64	5	14	20	19	6	2	0	0
57	71	62.5	F	64	5	19	20	20	16	3	8	3
57	71	62.5	F	62.5	5	16	19	20	69	16	28	63
58	71	62	M	70.5	7	15	18	18	13	11	9	9
58	71	62	M	70	7	13	20	19	23	7	0	9
58	71	62	M	69	7	14	18	20	3	3	1	7
58	71	62	M	69	7	14	19	19	7	1	3	2
58	71	62	M	66	7	19	20	19	15	11	3	6
58	71	62	F	64.5	7	13	8	19	24	8	28	10
58	71	62	F	64	7	11	13	11	16	7	2	18
59	71	61	F	62	1	14	12	15	10	4	2	11
60	71	58	M	71.5	2	10	20	18	34	2	36	25
60	71	58	M	69	2	11	13	11	37	12	26	10
61	70	69	M	71	4	15	18	19	17	10	18	3
61	70	69	M	70	4	16	18	19	63	16	34	38
61	70	69	M	69	4	13	7	12	53	16	7	18
61	70	69	F	69	4	15	19	19	35	7	26	47
62	70	69	M	70	6	17	20	20	0	2	2	1
62	70	69	M	68.7	6	16	18	19	28	6	18	8
62	70	69	F	68	6	14	18	17	36	14	13	15
62	70	69	F	66	6	14	16	18	1	2	0	0
62	70	69	F	64	6	10	13	18	27	12	31	4
62	70	69	F	62	6	12	18	19	43	15	39	20
63	70	68	M	75	1	14	15	18	6	1	3	7
64	70	67	M	70	5	14	17	19	42	6	3	13
64	70	67	M	69	5	17	20	19	12	3	2	4
64	70	67	F	66	5	13	11	19	3	4	3	2
64	70	67	F	64	5	16	19	19	6	7	3	11
64	70	67	F	60	5	13	16	18	NA	NA	NA	NA
65	70	67	F	67.5	1	14	20	20	38	3	20	10
66	70	66.5	M	73	11	14	15	19	6	0	4	8
66	70	66.5	M	72	11	14	17	19	8	7	8	7
66	70	66.5	M	72	11	17	17	18	21	11	39	56
66	70	66.5	M	66.5	11	12	14	17	20	3	1	11
66	70	66.5	F	69.2	11	13	20	18	38	15	33	13
66	70	66.5	F	67.2	11	16	18	19	44	17	47	26
66	70	66.5	F	66.5	11	14	19	19	66	21	45	11
66	70	66.5	F	66	11	16	19	19	8	5	0	5
66	70	66.5	F	66	11	17	20	19	49	22	47	69
66	70	66.5	F	64.2	11	8	15	19	39	7	4	4
66	70	66.5	F	63.7	11	15	18	20	0	2	0	0
67	70.5	65	M	72	4	10	16	18	25	16	28	0
67	70.5	65	M	70.2	4	15	15	18	9	5	1	2
67	70.5	65	M	69	4	14	18	16	32	9	0	4
67	70.5	65	M	68.5	4	18	15	19	57	8	56	46
68	70.5	65	F	68	5	14	15	17	41	15	9	9
68	70.5	65	F	65	5	12	13	15	25	3	4	2
68	70.5	65	F	61.5	5	19	20	19	8	3	10	15
68	70.5	65	F	61	5	14	15	18	19	4	4	3
68	70.5	65	F	61	5	13	18	19	7	11	1	10
69	70	65	M	73	8	12	18	18	16	7	38	5
69	70	65	M	72	8	14	15	17	60	18	33	11
69	70	65	M	70.5	8	12	15	19	42	11	34	7
69	70	65	M	65	8	14	13	18	40	18	25	NA
69	70	65	M	65	8	13	15	18	29	11	31	22
69	70	65	F	64.5	8	11	13	18	38	13	41	2
69	70	65	F	63	8	13	11	19	44	14	16	7
69	70	65	F	62	8	16	11	14	33	4	0	5
70	70	65	M	67	5	10	18	16	3	1	3	1
70	70	65	M	65	5	10	16	18	13	7	29	4
70	70	65	F	64.5	5	15	20	18	9	6	5	7
70	70	65	F	62.5	5	10	6	9	38	16	29	2
70	70	65	F	62.5	5	10	16	18	5	2	3	4
71	70	65	M	70	6	15	13	15	0	0	0	3
71	70	65	M	70	6	14	11	19	27	9	3	3
71	70	65	F	67	6	16	18	18	7	10	10	5
71	70	65	F	65	6	14	18	18	6	4	2	4
71	70	65	F	65	6	18	20	19	48	17	22	31
71	70	65	F	63	6	15	18	19	60	26	34	60
72	70	65	M	79	7	12	12	18	15	14	0	4
72	70	65	M	75	7	15	19	20	8	4	4	16
72	70	65	M	71	7	14	18	19	50	15	31	79
72	70	65	F	69	7	14	16	17	25	16	26	11
72	70	65	F	67	7	14	19	19	15	8	1	1
72	70	65	F	65.7	7	20	13	18	6	3	6	20
72	70	65	F	62	7	16	19	20	50	12	13	17
73	70	65	M	73	3	14	15	17	7	1	3	10
73	70	65	M	72.5	3	13	13	16	33	21	21	10
73	70	65	F	65	3	13	17	18	6	2	15	18
74	70	65	M	69	2	15	19	18	24	6	23	22
74	70	65	M	69	2	13	18	18	51	26	39	22
75	70	64.7	M	72	7	NA	NA	NA	NA	NA	NA	NA
75	70	64.7	M	70	7	11	18	19	42	12	30	13
75	70	64.7	M	68.7	7	12	14	17	14	9	23	29
75	70	64.7	F	66.5	7	13	11	19	14	16	23	0
75	70	64.7	F	65.5	7	17	17	18	6	3	1	4
75	70	64.7	F	64.7	7	13	11	12	48	15	36	5
75	70	64.7	F	64.5	7	13	15	18	39	4	15	16
76	70	64	M	70.7	7	18	19	20	12	12	8	17
76	70	64	M	70	7	9	13	19	39	14	13	15
76	70	64	M	68	7	12	13	15	15	11	28	3
76	70	64	M	67	7	15	18	19	15	10	2	13
76	70	64	M	66	7	14	18	18	33	9	37	3
76	70	64	M	65	7	16	19	20	59	19	44	21
76	70	64	F	67	7	12	11	16	34	13	36	14
77	70	64	M	70	4	16	15	18	34	16	26	15
77	70	64	M	68	4	12	16	19	29	11	0	2
77	70	64	M	66.7	4	9	18	19	0	0	0	2
77	70	64	F	65.5	4	13	18	18	12	5	17	12
78	70	64.2	M	72	5	13	17	18	19	9	24	12
78	70	64.2	M	70	5	19	20	20	52	6	52	44
78	70	64.2	F	62.5	5	16	16	19	73	25	51	3
78	70	64.2	F	61.2	5	18	19	20	75	24	33	47
78	70	64.2	F	60.1	5	14	18	18	44	19	29	23
79	70.5	64	M	74	8	9	NA	NA	28	7	30	15
79	70.5	64	M	69.5	8	9	18	19	58	26	25	24
79	70.5	64	M	69	8	13	13	19	25	5	35	26
79	70.5	64	M	68	8	15	15	17	8	8	3	16
79	70.5	64	M	68	8	11	13	19	35	13	45	12
79	70.5	64	M	68	8	15	17	19	48	23	33	23
79	70.5	64	F	65.5	8	14	18	19	7	6	10	10
79	70.5	64	F	65	8	14	19	18	8	5	2	11
80	70.5	64.5	F	60	1	13	7	12	22	14	24	7
81	70	64	M	68	4	14	15	18	41	15	41	5
81	70	64	F	65	4	12	16	18	36	10	7	8
81	70	64	F	64	4	15	16	19	37	15	28	30
81	70	64	F	62	4	15	14	19	70	26	30	7
82	70	64	M	71	9	9	NA	NA	4	2	5	0
82	70	64	M	70	9	11	16	17	14	9	6	18
82	70	64	M	70	9	17	17	20	25	17	9	6
82	70	64	M	70	9	19	20	20	52	22	15	42
82	70	64	M	69.5	9	13	17	18	52	17	50	66
82	70	64	M	68.5	9	13	11	19	38	11	26	8
82	70	64	F	69	9	15	14	19	52	23	18	22
82	70	64	F	65	9	13	16	18	12	5	0	0
82	70	64	F	64	9	14	17	18	9	1	27	3
83	70	63.7	M	70	8	16	18	18	45	21	38	35
83	70	63.7	M	67	8	14	20	20	48	8	53	24
83	70	63.7	M	65.5	8	15	20	20	13	6	33	43
83	70	63.7	F	63.7	8	13	20	19	52	12	36	47
83	70	63.7	F	63.2	8	14	18	19	52	17	34	28
83	70	63.7	F	62.5	8	11	16	16	21	8	0	5
83	70	63.7	F	62.2	8	14	16	16	30	14	21	16
83	70	63.7	F	61	8	16	18	19	63	17	41	36
85	70.5	63	M	72.5	5	14	16	18	29	11	34	27
85	70.5	63	M	69	5	12	18	18	48	10	33	18
85	70.5	63	M	67	5	14	15	19	32	15	27	18
85	70.5	63	F	64.5	5	15	18	19	60	20	48	1
85	70.5	63	F	64	5	15	19	19	49	21	35	23
86	70	63.5	M	71	4	18	18	18	4	1	0	5
86	70	63.5	M	67.5	4	16	18	19	57	12	13	35
86	70	63.5	F	67.5	4	15	19	19	73	13	48	82
86	70	63.5	F	63.5	4	6	11	16	25	5	13	8
87	70	63	M	68	4	12	15	20	32	13	32	21
87	70	63	M	67	4	14	19	19	78	25	37	36
87	70	63	F	63.7	4	14	15	19	59	21	40	32
87	70	63	F	62	4	13	20	18	31	11	39	28
88	70	63	M	70	4	14	16	18	43	16	43	8
88	70	63	M	66.5	4	12	7	18	21	8	3	5
88	70	63	F	62	4	12	15	20	31	14	35	28
88	70	63	F	61	4	19	20	20	63	23	58	13
89	70.5	62	M	72	8	15	17	19	66	23	38	1
89	70.5	62	M	70	8	15	13	15	45	13	27	48
89	70.5	62	M	69.5	8	8	13	17	3	4	0	38
89	70.5	62	M	69.5	8	21	19	20	49	17	23	39
89	70.5	62	M	68	8	14	16	16	50	23	38	3
89	70.5	62	F	65	8	13	20	19	47	18	42	9
89	70.5	62	F	64	8	6	11	14	20	8	27	12
89	70.5	62	F	63	8	13	16	18	19	11	28	38
90	70.3	62.7	M	70.7	7	15	19	20	40	17	43	2
90	70.3	62.7	M	69.7	7	18	20	19	39	19	41	0
90	70.3	62.7	M	69.2	7	16	15	17	25	3	1	3
90	70.3	62.7	M	65.2	7	8	15	19	41	22	28	14
90	70.3	62.7	F	64	7	18	17	19	4	7	0	9
90	70.3	62.7	F	63.5	7	15	19	19	44	21	0	12
90	70.3	62.7	F	63.2	7	10	20	18	4	4	5	22
91	70.5	62	M	72	3	15	15	18	32	11	6	0
91	70.5	62	M	72	3	11	16	17	50	13	37	7
91	70.5	62	F	60	3	14	17	19	41	20	9	14
92	70	61	M	71.2	2	14	18	20	60	11	32	15
92	70	61	M	67	2	14	19	19	38	16	41	26
93	70	60	M	67	4	13	12	17	10	5	0	11
93	70	60	M	64.5	4	14	16	18	61	22	48	13
93	70	60	F	65	4	10	13	16	4	2	0	1
93	70	60	F	63	4	15	14	18	34	7	22	49
94	70	60	F	65	2	18	17	19	46	19	36	6
94	70	60	F	65	2	13	18	19	47	7	23	2
95	70	58.5	M	71.5	3	16	20	20	24	10	6	5
95	70	58.5	M	64.5	3	14	14	18	39	11	3	7
95	70	58.5	F	63	3	12	15	19	29	3	2	12
96	70	58	M	72	5	13	18	19	27	5	27	10
96	70	58	M	66	5	19	20	17	26	6	20	23
96	70	58	F	66	5	10	14	19	10	9	24	6
96	70	58	F	65	5	15	17	19	20	9	19	0
96	70	58	F	63	5	15	15	19	58	22	8	19
97	69	68.5	M	75	10	10	14	19	3	4	0	7
97	69	68.5	M	71	10	17	19	19	48	12	17	0
97	69	68.5	M	70	10	6	5	11	15	0	31	41
97	69	68.5	F	66	10	16	18	18	7	10	6	33
97	69	68.5	F	66	10	19	20	20	74	13	46	20
97	69	68.5	F	65.5	10	15	19	19	51	21	49	4
97	69	68.5	F	65	10	11	18	19	14	8	8	11
97	69	68.5	F	65	10	6	11	16	29	14	22	19
97	69	68.5	F	64	10	14	17	18	8	3	2	10
97	69	68.5	F	64	10	15	15	17	49	13	34	25
98	69	67	F	64	1	14	16	17	14	6	4	18
99	69	66	M	73	8	13	19	19	17	5	25	1
99	69	66	M	72	8	14	16	18	26	12	20	10
99	69	66	M	71.7	8	13	11	12	1	1	3	33
99	69	66	M	71.5	8	15	15	19	33	13	42	3
99	69	66	F	65.5	8	18	19	20	43	16	32	5
99	69	66	F	65	8	14	20	19	42	13	3	6
99	69	66	F	62.7	8	14	20	19	6	3	5	6
99	69	66	F	62.5	8	12	18	18	24	4	7	0
100	69	66	M	71.2	3	12	18	19	35	7	4	3
100	69	66	M	71	3	10	17	18	8	1	7	4
100	69	66	M	70	3	13	13	18	51	21	24	NA
101	69	66.7	M	75	6	12	7	18	33	8	22	2
101	69	66.7	M	74	6	NA	NA	NA	NA	NA	NA	8
101	69	66.7	M	72	6	11	13	19	0	0	3	6
101	69	66.7	M	68.5	6	13	12	17	55	21	33	19
101	69	66.7	M	67	6	14	14	18	38	13	23	28
101	69	66.7	M	66	6	14	16	19	48	13	30	12
102	69	66	M	70	6	17	20	20	60	25	45	3
102	69	66	M	68.5	6	15	17	18	55	15	8	15
102	69	66	M	68	6	14	12	17	24	8	1	62
102	69	66	F	65	6	14	20	19	45	21	43	7
102	69	66	F	63	6	21	19	20	31	14	45	28
102	69	66	F	62.5	6	13	13	19	35	9	3	17
103	69	66.5	M	73	5	16	19	19	36	9	38	54
103	69	66.5	M	71	5	15	15	18	41	19	26	20
103	69	66.5	M	70.5	5	15	15	18	26	4	23	11
103	69	66.5	M	70.5	5	12	16	19	55	18	35	7
103	69	66.5	F	61	5	17	20	20	12	5	0	23
104	69.5	66.5	M	70.5	4	13	13	16	10	7	9	14
104	69.5	66.5	M	67.5	4	14	18	17	46	12	36	22
104	69.5	66.5	F	64.5	4	12	12	18	36	15	40	34
104	69.5	66.5	F	64	4	15	18	18	49	15	42	65
105	69	66.5	M	71	6	16	15	18	34	11	26	43
105	69	66.5	F	68.5	6	13	19	19	42	13	43	0
105	69	66.5	F	67.5	6	16	19	20	65	22	45	2
105	69	66.5	F	66	6	4	13	15	0	4	3	0
105	69	66.5	F	63	6	15	16	17	17	6	0	1
105	69	66.5	F	63	6	11	13	18	1	6	0	36
106	69.5	66	M	71	7	10	14	17	1	1	8	23
106	69.5	66	M	71	7	15	17	20	69	23	43	45
106	69.5	66	M	70.5	7	14	12	17	23	10	10	5
106	69.5	66	M	70.5	7	17	17	20	49	21	40	64
106	69.5	66	F	66.5	7	14	19	19	26	8	2	7
106	69.5	66	F	65.5	7	19	20	19	79	24	56	18
106	69.5	66	F	64.5	7	10	15	18	3	1	1	40
107	69	66	M	73	9	16	18	19	14	6	2	17
107	69	66	M	72	9	12	19	18	46	13	40	5
107	69	66	M	69	9	14	17	19	51	21	33	15
107	69	66	M	69	9	10	17	18	18	0	35	16
107	69	66	F	66.5	9	13	17	18	30	12	23	7
107	69	66	F	65.5	9	16	15	18	27	10	4	13
107	69	66	F	65.5	9	14	11	19	51	19	31	1
107	69	66	F	65	9	15	17	19	12	15	0	48
107	69	66	F	64	9	15	16	17	40	10	12	38
108	69	65	M	70	7	13	20	19	30	8	12	39
108	69	65	M	68.5	7	11	16	16	27	9	42	3
108	69	65	M	67	7	15	19	19	28	16	18	9
108	69	65	F	65	7	12	18	18	43	14	39	12
108	69	65	F	64	7	13	16	18	66	18	32	38
108	69	65	F	63.5	7	12	18	18	6	3	2	2
108	69	65	F	61	7	14	15	18	0	0	3	0
109	69.5	64.5	M	69.7	7	15	17	18	57	23	36	3
109	69.5	64.5	M	68	7	14	13	16	7	5	27	14
109	69.5	64.5	M	60	7	15	16	19	8	11	14	9
109	69.5	64.5	F	65.2	7	13	8	19	4	1	0	12
109	69.5	64.5	F	64.5	7	13	17	18	39	9	3	22
109	69.5	64.5	F	63.7	7	15	19	19	42	13	26	0
109	69.5	64.5	F	60	7	14	17	19	50	20	36	7
110	69.2	64	M	71.7	4	14	16	19	42	22	43	14
110	69.2	64	M	66.5	4	14	18	16	17	7	38	15
110	69.2	64	F	65	4	15	19	19	2	0	2	26
110	69.2	64	F	63.5	4	12	15	19	63	15	52	11
112	69	63	M	69	3	16	19	19	65	25	51	13
112	69	63	F	67.5	3	10	14	17	21	8	29	1
112	69	63	F	63.5	3	14	17	18	60	22	25	49
113	69	63	M	72	1	17	19	19	35	14	45	6
114	69	63	M	73	6	16	15	17	40	16	33	2
114	69	63	M	70	6	16	19	20	47	18	33	5
114	69	63	M	70	6	14	17	19	34	16	21	7
114	69	63	M	64	6	17	19	19	11	5	9	12
114	69	63	F	66	6	18	15	19	5	2	0	10
114	69	63	F	62	6	15	19	18	38	11	35	23
115	69	63.5	M	70.5	7	16	20	20	55	21	36	6
115	69	63.5	M	67	7	13	18	18	47	11	32	0
115	69	63.5	M	66	7	14	13	16	1	0	0	19
